"","database.name","taxon","species","genus","family","order","class","superclass","subphylum","phylum","kingdom","genus.species","common.name","fish.invert","pelagic.benthic","total.biomass.fish","All","diet","guild","Repro","repro.class","eggs","larvae","repro.notes","diet1","diet2","age_recruit","age_class"
"1","Albatrossia.pectoralis","Albatrossia pectoralis","pectoralis","Albatrossia","Macrouridae","Gadiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Albatrossia pectoralis","giant grenadier","fish","benthic",1,"All","I, C","A","oviparous","P","unknown","pelagic","","I","C",1.31189100243159,"Short"
"2","Anoplopoma.fimbria","Anoplopoma fimbria","fimbria","Anoplopoma","Anoplopomatidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Anoplopoma fimbria","sablefish","fish","benthic",1,"All","G","A","oviparous","P","pelagic","pelagic","non-guarders","G",NA,1.53636540964475,"Short"
"3","Atheresthes.stomias","Atheresthes stomias","stomias","Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Atheresthes stomias","arrowtooth flounder","fish","benthic",1,"All","G","A","oviparous","P","pelagic","pelagic","non-guarders","G",NA,1.99383822310311,"Short"
"4","Gadus.macrocephalus","Gadus macrocephalus","macrocephalus","Gadus","Gadidae","Gadiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Gadus macrocephalus","Pacific cod","fish","benthic",1,"All","I, B","A","oviparous","P","demersal","pelagic","","I","B",1.17180298515395,"Short"
"5","Hemitripterus.bolini","Hemitripterus bolini","bolini","Hemitripterus","Hemitripteridae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Hemitripterus bolini","bigmouth sculpin","fish","benthic",1,"All","F, B","A","oviparous","P","demersal","pelagic","","F","B",3.20619887817077,"Medium"
"6","Hippoglossus.stenolepis","Hippoglossus stenolepis","stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Hippoglossus stenolepis","Pacific halibut","fish","benthic",1,"All","G","A","oviparous","P","pelagic","pelagic","non-guarders","G",NA,1.99101543757747,"Short"
"7","Oncorhynchus.tshawytscha","Oncorhynchus tshawytscha","tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Oncorhynchus tshawytscha","Chinook salmon","fish","pelagic",1,"All","F","A","oviparous","P","fresh","fresh","","F",NA,0.609259643401179,"Short"
"8","Ophiodon.elongatus","Ophiodon elongatus","elongatus","Ophiodon","Hexagrammidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Ophiodon elongatus","lingcod","fish","benthic",1,"All","F, C","A","oviparous","P","demersal ","pelagic","guarders","F","C",1.06778810067209,"Short"
"9","Bathyraja.aleutica","Bathyraja aleutica","aleutica","Bathyraja","Arhynchobatidae","Rajiformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia","Bathyraja aleutica","Aleutian skate","fish","benthic",1,"All","I, B","B","oviparous-egg case","E","demersal","demersal","","I","B",1.10792249167766,"Short"
"10","Bathyraja.interrupta","Bathyraja interrupta","interrupta","Bathyraja","Arhynchobatidae","Rajiformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia","Bathyraja interrupta","sandpaper skate","fish","benthic",1,"All","I, B","B","oviparous-egg case","E","demersal","demersal","","I","B",1.5544283166822,"Short"
"11","Dasycottus.setiger","Dasycottus setiger","setiger","Dasycottus","Psychrolutidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Dasycottus setiger","spinyhead sculpin","fish","pelagic",1,"All","I, B","B","oviparous","P","demersal","pelagic","","I","B",3.95452232430165,"Medium"
"12","Glyptocephalus.zachirus","Glyptocephalus zachirus","zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Glyptocephalus zachirus","rex sole","fish","benthic",1,"All","I, B","B","oviparous","P","pelagic","pelagic","","I","B",1.71196766735674,"Short"
"13","Hemilepidotus.jordani","Hemilepidotus jordani","jordani","Hemilepidotus","Cottidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Hemilepidotus jordani","yellow Irish lord","fish","benthic",1,"All","I, B","B","oviparous","P","demersal","pelagic","","I","B",3.20619887817077,"Medium"
"14","Hexagrammos.decagrammus","Hexagrammos decagrammus","decagrammus","Hexagrammos","Hexagrammidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Hexagrammos decagrammus","kelp greenling","fish","benthic",1,"All","I, B","B","oviparous","P","demersal","pelagic","guarders","I","B",1.40809666110827,"Short"
"15","Hippoglossoides.elassodon","Hippoglossoides elassodon","elassodon","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Hippoglossoides elassodon","flathead sole","fish","benthic",1,"All","I, B","B","oviparous","P","pelagic","pelagic","non-guarders","I","B",3.17775850600625,"Medium"
"16","Hydrolagus.colliei","Hydrolagus colliei","colliei","Hydrolagus","Chimaeridae","Chimaeriformes","Holocephali","Pisces","Vertebrata","Chordata","Animalia","Hydrolagus colliei","spotted ratfish","fish","benthic",1,"All","I, B","B","oviparous-egg case","E","demersal","demersal","non-guarders","I","B",1.67225579551793,"Short"
"17","Isopsetta.isolepis","Isopsetta isolepis","isolepis","Isopsetta","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Isopsetta isolepis","butter sole","fish","benthic",1,"All","I, B","B","oviparous","P","pelagic","pelagic","non-guarders","I","B",2.23595864696757,"Medium"
"18","Lepidopsetta.sp.","Lepidopsetta sp",NA,"Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Lepidopsetta spp.","rock soles","fish","benthic",1,"All","I, B","B","oviparous","P","pelagic","pelagic","non-guarders","I","B",3.22358418518107,"Medium"
"19","Limanda.aspera","Limanda aspera","aspera","Limanda","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Limanda aspera","yellowfin sole","fish","benthic",1,"All","I, B","B","oviparous","P","pelagic","pelagic","non-guarders","I","B",4.38436027373874,"Long"
"20","Lycodes.brevipes","Lycodes brevipes","brevipes","Lycodes","Zoarcidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Lycodes brevipes","shortfin eelpout","fish","benthic",1,"All","I, B","B","oviparous","P","unknown","unknown","some care","I","B",9.15510240556758,"Long"
"21","Lycodes.palearis","Lycodes palearis","palearis","Lycodes","Zoarcidae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Lycodes palearis","wattled eelpout","fish","benthic",1,"All","I, B","B","oviparous","P","unknown","unknown","some care","I","B",4.25688019804992,"Long"
"22","Lyopsetta.exilis","Lyopsetta exilis","exilis","Lyopsetta","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Lyopsetta exilis","slender sole","fish","benthic",1,"All","I, B","B","oviparous","P","pelagic","pelagic","non-guarders","I","B",4.9841050611012,"Long"
"23","Malacocottus.zonurus","Malacocottus zonurus","zonurus","Malacocottus","Psychrolutidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Malacocottus zonurus","darkfin sculpin","fish","benthic",1,"All","I, B","B","unknown","U","unknown","pelagic","some care","I","B",4.58019661089144,"Long"
"24","Microstomus.pacificus","Microstomus pacificus","pacificus","Microstomus","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Microstomus pacificus","Dover sole","fish","benthic",1,"All","I, B","B","oviparous","P","pelagic","pelagic","non-guarders","I","B",5.70252173523922,"Long"
"25","Myoxocephalus.polyacanthocephalus","Myoxocephalus polyacanthocephalus","polyacanthocephalus","Myoxocephalus","Cottidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia","Myoxocephalus polyacanthocephalus","great sculpin","fish","benthic",1,"All","I, B","B","oviparous","P","demersal ","pelagic","","I","B",2.48644828705491,"Medium"
"26","Parophrys.vetulus","Parophrys vetulus","vetulus","Parophrys","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Parophrys vetulus","English sole","fish","benthic",1,"All","I, B","B","oviparous","P","pelagic","pelagic","non-guarders","I","B",2.73137931842749,"Medium"
"27","Platichthys.stellatus","Platichthys stellatus","stellatus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Platichthys stellatus","starry flounder","fish","benthic",1,"All","I, B","B","oviparous","P","pelagic","pelagic","non-guarders","I","B",2.5711499402174,"Medium"
"28","Pleuronectes.quadrituberculatus","Pleuronectes quadrituberculatus","quadrituberculatus","Pleuronectes","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Pleuronectes quadrituberculatus","Alaska plaice","fish","benthic",1,"All","I, B","B","oviparous","P","pelagic","pelagic","non-guarders","I","B",4.03277576662073,"Long"
"29","Podothecus.accipenserinus","Podothecus accipenserinus","accipenserinus","Podothecus","Agonidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Podothecus accipenserinus","Sturgeon Poacher","fish","benthic",1,"All","I, B","B","oviparous","P","demersal ","pelagic","","I","B",1.5,"Short"
"30","Raja.binoculata","Raja binoculata","binoculata","Raja","Rajidae","Rajiformes","Chondrichthyes","Pisces","Vertebrata","Chordata","Animalia","Raja binoculata","big skate","fish","benthic",1,"All","G","B","oviparous-egg case","E","demersal ","none","non-guarders","G",NA,0.349486396732764,"Short"
"31","Raja.rhina","Raja rhina","rhina","Raja","Rajidae","Rajiformes","Chondrichthyes","Pisces","Vertebrata","Chordata","Animalia","Raja rhina","longnose skate","fish","benthic",1,"All","F","B","oviparous-egg case","E","demersal ","none","non-guarders","F",NA,1.0669895634523,"Short"
"32","Sebastolobus.alascanus","Sebastolobus alascanus","alascanus","Sebastolobus","Sebastidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Sebastolobus alascanus","shortspine thornyhead","fish","benthic",1,"All","I, B","B","oviparous","P","pelagic","pelagic","non-guarders","I","B",16.0602382245212,"Long"
"33","Squalus.acanthias","Squalus acanthias","acanthias","Squalus","Squalidae","Squaliformes","Chondrichthyes","Pisces","Vertebrata","Chordata","Animalia","Squalus acanthias","piked dogfish","fish","benthic",1,"All","G, B","B","ovoviviparous","V","none","pelagic","","G","B",4.3446622717369,"Long"
"34","Chionoecetes.bairdi","Chionoecetes bairdi","bairdi","Chionoecetes","Oregoniidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Chionoecetes bairdi","Tanner crab","invert","benthic",0,"All","I, B","E","","","","","","I","B",NA,NA
"35","Hyas.lyratus","Hyas lyratus","lyratus","Hyas","Oregoniidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia","Hyas lyratus","Pacific lyre crab","invert","benthic",0,"All","I, B","E","","","","","","I","B",NA,NA
"36","Bathymaster.signatus","Bathymaster signatus","signatus","Bathymaster","Bathymasteridae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Bathymaster signatus","searcher","fish","benthic",1,"All","I, C","P","oviparous","P","demersal","","","I","C",3.7360720091511,"Medium"
"37","Clupea.pallasi","Clupea pallasi","pallasii","Clupea","Clupeidae","Clupeiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Clupea pallasii","Pacific herring","fish","pelagic",1,"All","I, C","P","oviparous","P","demersal","pelagic","","I","C",2.72452570281035,"Medium"
"38","Dusky.and.Dark.Rockfish","DuskyandDarkRockfish","variabilis/ciliatus","Sebastes","Sebastidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Sebastes group 1","","fish","benthic",1,"All","I, C","P","ovoviviparous","V","pelagic","pelagic","","I","C",2.58580743488161,"Medium"
"39","Mallotus.villosus","Mallotus villosus","villosus","Mallotus","Osmeridae","Osmeriformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Mallotus villosus","capelin","fish","pelagic",1,"All","I, C","P","oviparous","P","demersal ","pelagic","non-guarders","I","C",3.44633385960193,"Medium"
"40","Merluccius.productus","Merluccius productus","productus","Merluccius","Merlucciidae","Gadiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Merluccius productus","Pacific hake","fish","pelagic",1,"All","I, C","P","oviparous","P","pelagic","pelagic","non-guarders","I","C",1.20600743270467,"Short"
"41","Myctophidae","Myctophidae",NA,NA,"Myctophidae","Myctophiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Myctophidae spp.","lanternfishes","fish","pelagic",1,"All","I, C","P","oviparous","P","pelagic","pelagic","non-guarders","I","C",1.5,"Short"
"42","Oncorhynchus.keta","Oncorhynchus keta","keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Oncorhynchus tshawytscha","Chum salmon","fish","pelagic",1,"All","I, C","P","oviparous","P","fresh","fresh","","I","C",0.609259643401179,"Short"
"43","Pleurogrammus.monopterygius","Pleurogrammus monopterygius","monopterygius","Pleurogrammus","Hexagrammidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Pleurogrammus monopterygius","Atka mackerel","fish","benthic",1,"All","I, C","P","oviparous","P","demersal ","pelagic","non-guarders","I","C",1.63670497169716,"Short"
"44","Rougheye.and.Blackspotted.Rockfish","RougheyeandBlackspottedRockfish","aleutianus/melanostictus","Sebastes","Sebastidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Sebastes group 2","","fish","benthic",1,"All","I, C","P","ovoviviparous","V","none","pelagic","","I","C",2.58580743488161,"Medium"
"45","Sebastes.alutus","Sebastes alutus","alutus","Sebastes","Sebastidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Sebastes alutus","Pacific ocean perch","fish","benthic",1,"All","I, C","P","ovoviviparous","V","none","pelagic","","I","C",4.56925323023421,"Long"
"46","Sebastes.babcocki","Sebastes babcocki","babcocki","Sebastes","Sebastidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Sebastes babcocki","redbanded rockfish","fish","benthic",1,"All","I, C","P","ovoviviparous","V","none","pelagic","","I","C",2.58580743488161,"Medium"
"47","Sebastes.borealis","Sebastes borealis","borealis","Sebastes","Sebastidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Sebastes borealis","shortraker rockfish","fish","benthic",1,"All","I, C","P","ovoviviparous","V","none","pelagic","","I","C",6.54626301605598,"Long"
"48","Sebastes.brevispinis","Sebastes brevispinis","brevispinis","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia","Sebastes brevispinis","silvergray rockfish","fish","benthic",1,"All","I, C","P","ovoviviparous","V","none","pelagic","","I","C",4.30809840878067,"Long"
"49","Sebastes.polyspinis","Sebastes polyspinis","polyspinis","Sebastes","Sebastidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Sebastes polyspinis","northern rockfish","fish","benthic",1,"All","I, C","P","ovoviviparous","V","none","pelagic","","I","C",4.39882162553333,"Long"
"50","Sebastes.proriger","Sebastes proriger","proriger","Sebastes","Sebastidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Sebastes proriger","redstripe rockfish","fish","benthic",1,"All","I, C","P","ovoviviparous","V","none","pelagic","","I","C",4.5914980052521,"Long"
"51","Sebastes.variegatus","Sebastes variegatus","variegatus","Sebastes","Sebastidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Sebastes variegatus","harlequin rockfish","fish","benthic",1,"All","I, C","P","ovoviviparous","V","none","pelagic","","I","C",7.71139018033554,"Long"
"52","Sebastes.zacentrus","Sebastes zacentrus","zacentrus","Sebastes","Sebastidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Sebastes zacentrus","sharpchin rockfish","fish","benthic",1,"All","I, C","P","ovoviviparous","V","none","pelagic","","I","C",7.24177207158164,"Long"
"53","Thaleichthys.pacificus","Thaleichthys pacificus","pacificus","Thaleichthys","Osmeridae","Osmeriformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Thaleichthys pacificus","eulachon","fish","pelagic",1,"All","I, C","P","oviparous","V","fresh","fresh","","I","C",4.73364091892382,"Long"
"54","Gadus.chalcogrammus","Theragra chalcogramma","chalcogramma","Theragra","Gadidae","Gadiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Theragra chalcogramma","walleye pollock","fish","benthic",1,"All","I","P","oviparous","V","pelagic","pelagic","non-guarders","I",NA,1.28521666661351,"Short"
"55","Zaprora.silenus","Zaprora silenus","silenus","Zaprora","Zaproridae","Perciformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Zaprora silenus","prowfish","fish","benthic",1,"All","I, C","P","unknown","U","unknown","pelagic","","I","C",1.40032963955441,"Short"
